date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:54	67751/67751	---M-Z	200	added ('OK')	text/html	etag:%22615356d4607e679950dbc96f4c419efe%22	https://splendid-let-839159.framer.app/	C:/My%20Web%20Sites/cristosu%20mati/splendid-let-839159.framer.app/index.html	(from )
14:34:54	103/103	---M-Z	200	added ('OK')	text/plain	etag:%2276a9fad69bab3da09139bc617289d767%22	https://splendid-let-839159.framer.app/robots.txt		(from )
14:34:54	196923/196923	---MC-	200	added ('OK')	image/png	etag:%2234ca21bd028bbc3d99743c15f5b1469d%22	https://framerusercontent.com/images/mnjqWXU21RnznShDPpQbxVgFWo.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/images/mnjqWXU21RnznShDPpQbxVgFWo.png	(from https://splendid-let-839159.framer.app/)
14:34:55	891606/891606	---M--	200	added ('OK')	image/png	etag:%222c3e21626cc51e87a10db7d010b0910d%22	https://framerusercontent.com/assets/mnjqWXU21RnznShDPpQbxVgFWo.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/assets/mnjqWXU21RnznShDPpQbxVgFWo.png	(from https://splendid-let-839159.framer.app/)
14:34:55	4268/4268	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Sep%202024%2013:36:01%20GMT	https://splendid-let-839159.framer.app/[object%20Object]	C:/My%20Web%20Sites/cristosu%20mati/splendid-let-839159.framer.app/[object%20Object].2.delayed	(from https://splendid-let-839159.framer.app/)
14:34:55	10487/10487	---MC-	200	added ('OK')	image/png	etag:%228d76866b75839ebc9fc3e8ad564768cc%22	https://framerusercontent.com/images/lCjzYj2mPDwjgbcSHlyV1kxrFRI.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/images/lCjzYj2mPDwjgbcSHlyV1kxrFRI.png	(from https://splendid-let-839159.framer.app/)
14:34:55	197104/197104	---MC-	200	added ('OK')	image/png	etag:%22612d814f75b1aa9e913bb08ad34909be%22	https://framerusercontent.com/images/znRG7FVpnyetpOdc4IDmdEJU.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/images/znRG7FVpnyetpOdc4IDmdEJU.png	(from https://splendid-let-839159.framer.app/)
14:34:56	11864/11864	---MC-	200	added ('OK')	image/png	etag:%22e889cfcf626932358270e2d14c940fca%22	https://framerusercontent.com/images/3LzI2FCfXUZbLcA3rZJ0wcBI.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/images/3LzI2FCfXUZbLcA3rZJ0wcBI.png	(from https://splendid-let-839159.framer.app/)
14:34:56	522320/522320	---MC-	200	added ('OK')	image/png	etag:%2264fbdb37fb23b37b6439f9972e455863%22	https://framerusercontent.com/images/JwXKkl7j5mE1ZGc9GtWGXRf9UU.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/images/JwXKkl7j5mE1ZGc9GtWGXRf9UU.png	(from https://splendid-let-839159.framer.app/)
14:34:56	1073/1073	---MC-	200	added ('OK')	image/png	etag:%22b871f0e29c33070e0c5573bb6617d666%22	https://framerusercontent.com/images/BSeO10GEI0Q6qOSZ4oVAvX8jA.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/images/BSeO10GEI0Q6qOSZ4oVAvX8jA.png	(from https://splendid-let-839159.framer.app/)
14:34:56	449748/449748	---MC-	200	added ('OK')	image/png	etag:%22470b48c2010fb24f88461bd5f003e556%22	https://framerusercontent.com/images/4BG4DGF6X8yMlclVBfymkeykQ9E.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/images/4BG4DGF6X8yMlclVBfymkeykQ9E.png	(from https://splendid-let-839159.framer.app/)
14:34:58	351135/351135	---MC-	200	added ('OK')	image/png	etag:%22fcdecdc279b745241078b8b68a5d0cf7%22	https://framerusercontent.com/images/AASrqRT9rzAy2RLOkZRcOffi2HA.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/images/AASrqRT9rzAy2RLOkZRcOffi2HA.png	(from https://splendid-let-839159.framer.app/)
14:34:58	411481/411481	---MC-	200	added ('OK')	image/png	etag:%22374d34a99426e621d75ef2b014ccb847%22	https://framerusercontent.com/images/WhEbcofxCgAFjzBlquW1BvEe6PU.png	C:/My%20Web%20Sites/cristosu%20mati/framerusercontent.com/images/WhEbcofxCgAFjzBlquW1BvEe6PU.png	(from https://splendid-let-839159.framer.app/)
